title,dimension,genres,play_mode,n_devs,year_begin,year_launch,engine,meta_score,user_score,copies_sold,steam_price_brl,platforms
1001 Spikes,2D,,,5,???,2014,custom,80,6.7,,,
A Short Hike,3D,,,,,,unity,,,,,
Ape Out,,,,,,,unity,,,,,
Axiom Verge,2D,,,,2010,2015,xna/monogame,80,7.7,,,
Baba is You,2D,,,1,,,multimedia fusion 2,87,8.1,,,
Bastion,,,,,,,xna/monogame,86,8.5,,,
Braid,2D,,,,,,custom,90,8.6,,,
Broforce,,,,,,,unity,83,8,,,
Carrion,2D,Horror,Single,2,2017,2020,xna/monogame,75,7.9,,,
Celeste,2D,,,6,2014,2018,xna/monogame,88,8.2,,,
Crypt of the Necrodancer,2D,,,,,,monkey x,87,7.8,,,
Cuphead,2D,,,,,,unity,88,8.2,,,
Darkest Dungeon,2D,,,,,,custom,84,7.8,,,
Dead Cells,2D,,,,,,heaps,89,8,,,
Don't Starve,,,,,,,custom,79,8.3,,,
Dwarf Fortress,2D,,,,,,custom,,8.5,,,
Enter the Gungeon,2D,,,,,,unity,,,,,
Factorio,,,,,,,custom,90,9.2,,,
Fall Guys,3D,,,,,,unity,80,7.4,,,
Faster than Light,2D,Roguelike,,,,,custom,84,8.4,,,
Fez,3D,,,,,,custom,91,6.7,,,
Firewatch,3D,,,,,,unity,81,7,,,
Forager,,,,1,,2019,gamemaker,78,7.7,,,
Getting Over It,2D,,,,,,,,,,,
Gris,,,,,,,,,,,,
Hades,,Roguelike,,,,,custom,93,8.9,,,
Hollow Knight,2D,,,,,,unity,87,9.1,2800000,27.99,
Hotline Miami,2D,,,,,,gamemaker,85,8.6,,,
Hyper Light Drifter,,,,,,2016,gamemaker,84,8.2,,,
Inside,,,,,,,unity,87,8.5,,,
Into the Breach,,,,,,,custom,90,7.8,,,
Journey,,Adventure,,,,,phyre,92,8.3,,,
Kerbal Space Program,3D,,,,,,unity,,,,,
Limbo,2D,,,,,,custom,88,8.1,,,
Minecraft,3D,"Sandbox,Survival","Single,Multiplayer",4,2009,2011,custom,93,7.9,,,"Windows,Mac OS,Linux,Xbox One,PS4,Nintendo Switch,iOS,Android,PS3,Xbox 360,Raspberry Pi"
Minit,2D,,,,,,,,,,,
Moving Out,3D,,,,,,unity,,,,,
Noita,2D,,,,,2020,custom,76,7.5,,,
Nuclear Throne,2D,,,,,,gamemaker,89,7.7,,,
Ori and the Blind Forest,2D,,,,,,unity,88,8.7,,,
Ori and the Will of Wisps,,,,,,,unity,88,8.6,,,
Overcooked,3D,,,,,,unity,81,7.8,,,
Overcooked 2,3D,,,,,,unity,81,7.6,,,
Owlboy,2D,,,,,,xna/monogame,88,7.6,,,
Oxygen Not Included,2D,,,,,,unity,,,,,
"Papers, Please",2D,,,1,,2013,openfl,85,8.5,,,
Prison Architect,2D,,,,,,custom,83,8.2,,,
Return of The Obra Dinn,3D,puzzle,single,1,2013,2018,unity,89,8.3,,,
Rocket League,3D,,,,,,unreal engine,86,7.8,,,
Shovel Knight,2D,,,,,,custom,85,8,,,
Slay the Spire,2D,,,,,2019,libgdx,89,7.3,,,
Spelunky 2,2D,"Platformer,Roguelike","single,multiplayer",,,,custom,91,6.4,,,
Spelunky HD,2D,"Platformer,Roguelike",single,,,2012,custom,90,7.3,,,
Stardew Valley,2D,"Simulation,RPG","Single,Multiplayer",1,2012,2016,xna/monogame,89,8.8,,,"Windows,Mac OS,Linux,PS4,Xbox One,Nintendo Switch,iOS,Android"
Streets of Rage 4,,,,2,,,xna/monogame,84,7.8,,,
Super Meat Boy,2D,,,4,2009,2010,custom,87,8.2,,,
Superhot,3D,fps,,10,2014,2016,unity,82,7.5,,,
Terraria,2D,,,,,,xna/monogame,83,8.7,,,
The Binding of Isaac,2D,roguelike,,3,2010,2011,flash,84,8.3,,,
The Stanley Parable,3D,,,,,,,,,,,
The Witness,3D,puzzle,,10,2008,2016,custom,87,7,,,
Towerfall,2D,,,,,,,,,,,
Towerfall: Ascension,2D,,,5,2012,2013,xna/monogame,87,6.9,,,
Undertale,2D,RPG,Single,1,,2015,gamemaker,92,8.4,,,
Untitled Goose Game,3D,,,,,,unity,79,6.3,,,
Void Bastards,3D,,,,,,,,,,,
VVVVVV,2D,,,,,,custom,81,7.9,,,
Wargroove,2D,,,,,,custom,82,5.9,,,
Wonder Boy: The Dragon's Trap,2D,,,2,,,custom,80,7.6,,,